temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,thermalization_cut,n_samples_after_thermalization,source_file
0.9,0,50,2500,50000,1.1111111111111112,1,707.864598539975,11325,0.6064506617768609,0.014102980693796504,-1.4379275372648508,0.003072700128031457,16.647876990275726,25.948771496629774,1.008844821567769,0.049191011522928804,0.009180450331125828,0.000477201880898391,11.475562913907284,0.5965023511229884,11.475562913907284,0.5965023511229884,212,49788,data/T_0.90_N_050_data.npz
0.95,0,10,100,5000,1.0526315789473684,1,14.510720463504965,232,0.7334902663902394,0.0046752752104991585,-1.402044254961587,0.006954129611071369,0.3271835158374777,0.1670022913469453,0.8183630681019188,0.20803657499161649,0.012129310344827587,0.0030010715277694,0.6064655172413793,0.15005357638847,0.6064655172413793,0.15005357638847,149,4851,data/T_0.95_N_010_data.npz
0.95,0.0,20,400,20000,1.0526315789473684,1.0,72.90597675480777,1166,0.6587722326043152,0.00542926079530184,-1.3888845450013634,0.004290665443706901,1.5284111272963294,0.7925765583254731,1.0860383461176313,0.11415300408056021,0.01427288807890223,0.0015018358069860838,2.854577615780446,0.3003671613972167,2.854577615780446,0.3003671613972167,183,19817,data/T_0.95_N_020_data.npz
0.95,0,50,2500,50000,1.0526315789473684,1,737.8064034346945,11804,0.553047159623767,0.014466230833803788,-1.384397177090529,0.003537131420816228,16.97494536170347,15.115636197306769,1.1492803108921308,0.0907699760590078,0.014895882751609624,0.0004888905385325592,18.619853439512028,0.6111131731657002,18.619853439512028,0.6111131731657002,214,49786,data/T_0.95_N_050_data.npz
1.0,0,10,100,5000,1.0,1,15.737349974905642,251,0.6975003201547201,0.006326581757314781,-1.34487653876965,0.00827059216045295,0.5682870092179396,0.31380967659076986,1.0241517963592404,0.23102682303142785,0.019370937303417907,0.0037831495619426816,0.9685468651708953,0.18915747809713415,0.9685468651708953,0.18915747809713415,106,4894,data/T_1.00_N_010_data.npz
1,0.0,20,400,20000,1.0,1.0,108.14287742913336,1730,0.6115651353635774,0.00768483822996231,-1.3335813544037758,0.005723311699648348,1.881585065031306,0.7262837508021646,1.1636196400613563,0.09850350017658499,0.02115817130846033,0.001792198881266488,4.231634261692066,0.3584397762532974,4.231634261692066,0.3584397762532974,214,19786,data/T_1.00_N_020_data.npz
1.0,0,50,2500,20000,1.0,1,337.93444329870925,5406,0.47519721893146566,0.014309332474476355,-1.323064624221989,0.004191679881972724,14.123457180120399,4.395430109906861,1.2820346268785727,0.16796870441047246,0.023016401529165124,0.0005541291184663839,28.770501911456407,0.6926613980829814,28.770501911456407,0.6926613980829814,237,19763,data/T_1.00_N_050_data.npz
1.03,0.0,20,400,20000,0.970873786407767,1.0,143.54082559861322,2296,0.5578709711774235,0.013289443801976268,-1.288594927943285,0.007340136691898611,4.126542207793246,3.16457416096564,1.3471620478801056,0.23112675332055693,0.02836400261324042,0.0030260032666965626,5.6728005226480835,0.6052006533393121,5.6728005226480835,0.6052006533393121,200,19800,data/T_1.03_N_020_data.npz
1.05,0.0,10,100,20000,0.9523809523809523,1.0,20.81866856113589,333,0.6604364510889257,0.004611482637410542,-1.2873809806447567,0.005275803770511139,0.8725920524566414,0.6172028902719898,1.1290698277856368,0.2953460080627562,0.026787804753906456,0.005607427850841202,1.3393902376953224,0.2803713925420601,1.3393902376953224,0.2803713925420601,114,19886,data/T_1.05_N_010_data.npz
1.05,0.0,20,400,20000,0.9523809523809523,1.0,113.68143360164387,1818,0.5386889742971033,0.012353320036554342,-1.2625531530793592,0.006833995787773978,4.65282909751937,1.6705905054167345,1.4580782808834516,0.12942465818830848,0.032564081408140814,0.0021826300947846407,6.512816281628163,0.4365260189569282,6.512816281628163,0.4365260189569282,163,19837,data/T_1.05_N_020_data.npz
