temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,thermalization_cut,n_samples_after_thermalization,source_file
0.7,0,20,400,5000,1.4285714285714286,1,129.4881484381508,2071,0.7659683675793162,0.02067673576541468,-1.598383538990065,0.0076448158160632015,4.854814941822017,5.9624794943903625,0.910054272343056,0.19733536784239344,0.001345968131337518,0.0006162857267222203,0.26919362626750365,0.12325714534444407,0.26919362626750365,0.12325714534444407,134,4866,data_with_field/T_0.70_N_020_h_0.00_data.npz
0.7,0.25,20,400,5000,1.4285714285714286,1,17.56022092868312,280,0.8544355253505518,0.0012987591794330873,-1.8584245494742853,0.002354209322465574,0.11817484596340053,0.03906358333904161,0.5815747391242523,0.10504068387829173,0.00024999999999999995,8.906222028241074e-05,0.04999999999999999,0.017812444056482146,0.04999999999999999,0.017812444056482146,212,4788,data_with_field/T_0.70_N_020_h_0.25_data.npz
0.7,0.5,20,400,5000,1.4285714285714286,1,20.80696327842721,332,0.8785597501104124,0.0010419305811502197,-2.1154005106943523,0.002523235627349143,0.06409000362938223,0.016430914153178384,0.5630440121357554,0.09267449644700163,8.605851979345954e-05,5.648279890825246e-05,0.017211703958691912,0.011296559781650492,0.017211703958691912,0.011296559781650492,220,4780,data_with_field/T_0.70_N_020_h_0.50_data.npz
0.7,1,20,400,5000,1.4285714285714286,1,11.632142903407551,186,0.9039068749816889,0.0005342285030726349,-2.6230264246647237,0.0018418985023264229,0.030084629271775857,0.008004416836212981,0.534858680263116,0.11691447031649004,2.2580645161290325e-05,5.128705383962074e-05,0.004516129032258065,0.010257410767924148,0.004516129032258065,0.010257410767924148,178,4822,data_with_field/T_0.70_N_020_h_1.00_data.npz
0.7,2,20,400,5000,1.4285714285714286,1,10.62946853231729,170,0.928850198277065,0.0003672631820797937,-3.6310732127819945,0.0017789023850178177,0.016084798399635152,0.0044220027852386705,0.5406178838016465,0.1400319892979111,0.0,0.0,0.0,0.0,0.0,0.0,223,4777,data_with_field/T_0.70_N_020_h_2.00_data.npz
0.8,0,20,400,5000,1.25,1,50.7293788492251,811,0.7420481062581747,0.006573875416989517,-1.5259224007728278,0.005244596378930082,0.8884914047561709,0.5375706310443593,0.7949105874950548,0.03337132568572441,0.003163995067817509,0.00043401191663831835,0.6327990135635019,0.08680238332766366,0.6327990135635019,0.08680238332766366,190,4810,data_with_field/T_0.80_N_020_h_0.00_data.npz
0.8,0.25,20,400,5000,1.25,1,11.873128035375554,189,0.8271405397381153,0.001220116262318153,-1.7921163834007676,0.0022366986748226887,0.1379233652554693,0.05201808094653162,0.6094319605508457,0.15669314579249685,0.001035978835978836,0.0003569533758247908,0.20719576719576716,0.07139067516495813,0.20719576719576716,0.07139067516495813,154,4846,data_with_field/T_0.80_N_020_h_0.25_data.npz
0.8,0.5,20,400,5000,1.25,1,7.467077054657094,119,0.8568531413310947,0.0007114454926958152,-2.0502731546053603,0.0017261858433995786,0.06949025484666302,0.018100832140956032,0.5512604249938524,0.14939058301511524,0.00041386554621848735,0.00023259097682825928,0.08277310924369748,0.04651819536565185,0.08277310924369748,0.04651819536565185,170,4830,data_with_field/T_0.80_N_020_h_0.50_data.npz
0.8,1,20,400,5000,1.25,1,7.253619118482955,116,0.8869268111327863,0.0005240764322905159,-2.560110138128892,0.0016856505660623315,0.042126157658845136,0.013941768826353848,0.54639604339742,0.1468898535838449,9.671993271656855e-05,0.00010415548841349698,0.01934398654331371,0.020831097682699393,0.01934398654331371,0.020831097682699393,132,4868,data_with_field/T_0.80_N_020_h_1.00_data.npz
0.8,2,20,400,5000,1.25,1,6.511205916861958,104,0.9173260777848409,0.0003268913854537339,-3.5730718739242446,0.001533795546525178,0.017878165642623296,0.005004626715301029,0.4954212058727181,0.13244532367522702,1.0451505016722408e-06,7.088555584370055e-06,0.00020903010033444818,0.0014177111168740112,0.00020903010033444818,0.0014177111168740112,137,4863,data_with_field/T_0.80_N_020_h_2.00_data.npz
