temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,source_file
1.6999999999999997,0,10,100,5000,0.5882352941176472,1,1.929697305870483,30,0.12529926898214302,0.020523474319140266,-0.2506300421206974,0.013715469214080024,0.22380721049949565,0.08159986703886161,0.08622827165080785,0.02832214256028615,0.26156224899598396,0.011597448658336161,13.078112449799198,0.5798724329168078,13.078112449799198,0.5798724329168078,data/T_1.70_N_010_data.npz
1.6999999999999997,0,20,400,5000,0.5882352941176472,1,1.8095844706773907,28,0.06215576976531818,0.00955782045170808,-0.13503006874768722,0.006876974941279532,0.2252566349347391,0.08846438886575307,0.08576060661087306,0.027828187217244272,0.26131922150882825,0.005936918771411091,52.26384430176565,1.1873837542822174,52.26384430176565,1.1873837542822174,data/T_1.70_N_020_data.npz
1.6999999999999997,0,50,2500,5000,0.5882352941176472,1,1.8566800698807107,29,0.025059121352276108,0.0038124399924610304,-0.13940028124111115,0.003066247250297299,0.22743545355287723,0.09311764098601248,0.0889763562005959,0.02712958734900869,0.2615727345629511,0.0024395842543385787,326.9659182036889,3.049480317923224,326.9659182036889,3.049480317923224,data/T_1.70_N_050_data.npz
1.8999999999999997,0,10,100,5000,0.5263157894736843,1,1.8046294036897643,28,0.12110924005911863,0.01778100600682606,-0.09658296380253106,0.013467665943041215,0.18622860613608666,0.06506864701639431,0.07154427879247174,0.020900948677441068,0.2705417335473515,0.01115447806200654,13.527086677367576,0.5577239031003268,13.527086677367576,0.5577239031003268,data/T_1.90_N_010_data.npz
1.8999999999999997,0,20,400,5000,0.5263157894736843,1,1.7239227746539818,27,0.06050137424080362,0.009354047767470192,-0.11113140464302149,0.006255631737111817,0.18467841602332885,0.06495884768494996,0.06903431284612277,0.02161249171084248,0.2703663663663664,0.005572537008236078,54.073273273273266,1.1145074016472145,54.073273273273266,1.1145074016472145,data/T_1.90_N_020_data.npz
1.8999999999999997,0,50,2500,5000,0.5263157894736843,1,1.7180704799744897,27,0.024073927945498435,0.004045526213176738,-0.14943425511245723,0.0028423709620119773,0.19597024373101565,0.07842657993741112,0.07023439551733006,0.020656195792273024,0.2703899099099099,0.0024706056723731934,337.9873873873874,3.0882570904664925,337.9873873873874,3.0882570904664925,data/T_1.90_N_050_data.npz
2.0999999999999996,0,10,100,5000,0.4761904761904763,1,1.638566659584024,26,0.1168571378249207,0.017455153615861658,-0.1679041399008053,0.014865196086809486,0.15923602766223013,0.05723029581564506,0.056585227113292134,0.017252766398829698,0.27622996794871796,0.0112041956332574,13.811498397435898,0.5602097816628697,13.811498397435898,0.5602097816628697,data/T_2.10_N_010_data.npz
2.0999999999999996,0,20,400,5000,0.4761904761904763,1,1.6584542050010371,26,0.05844227169065356,0.008434227421644921,-0.1434774047013436,0.007507092375080734,0.1610573017528458,0.05686798999439074,0.055731147454982366,0.01744460396865072,0.27771434294871794,0.005495828791502442,55.54286858974359,1.0991657583004886,55.54286858974359,1.0991657583004886,data/T_2.10_N_020_data.npz
2.0999999999999996,0,50,2500,5000,0.4761904761904763,1,1.6636162187785717,26,0.023294916754189123,0.0033947251454050508,-0.12421102053664816,0.002704135647723422,0.1583439712459032,0.06376789589580299,0.055806231797757615,0.016701817666753365,0.27737964743589744,0.0021437101061471007,346.72455929487177,2.6796376326838756,346.72455929487177,2.6796376326838756,data/T_2.10_N_050_data.npz
2.3,0,10,100,5000,0.4347826086956522,1,1.6641755134111635,26,0.11486495477964519,0.017403273956325366,-0.12533775475015874,0.012931088283687255,0.1360419547790283,0.05291816060937349,0.047182106321969224,0.013496287112189803,0.2826121794871795,0.010653819861912054,14.130608974358973,0.5326909930956027,14.130608974358973,0.5326909930956027,data/T_2.30_N_010_data.npz
2.3,0,20,400,5000,0.4347826086956522,1,1.6262016037724176,26,0.05652457303746994,0.008996224028600022,-0.07203999329805962,0.007077226264922671,0.1397837854978926,0.053644566320385,0.04643389480774362,0.014957778988566681,0.28251502403846157,0.005918524556150164,56.503004807692314,1.1837049112300333,56.503004807692314,1.1837049112300333,data/T_2.30_N_020_data.npz
2.3,0,50,2500,5000,0.4347826086956522,1,1.6984834668085014,27,0.022415490150225693,0.003419091228969408,-0.1094453214360444,0.0025950055500776077,0.14099700036356153,0.05908208065049246,0.0475758114742497,0.013966365933129653,0.2827376176176176,0.002275387845439561,353.4220220220221,2.844234806799444,353.4220220220221,2.844234806799444,data/T_2.30_N_050_data.npz
2.4999999999999996,0,10,100,5000,0.4000000000000001,1,1.6418241837416738,26,0.11351386823269176,0.01649405774753443,-0.0766118425065927,0.013874711677236374,0.12342781089513251,0.04424344251898865,0.03887087042001289,0.01165286173840197,0.2863741987179487,0.0111640481058425,14.318709935897436,0.5582024052921251,14.318709935897436,0.5582024052921251,data/T_2.50_N_010_data.npz
2.4999999999999996,0,20,400,5000,0.4000000000000001,1,1.500406824287258,24,0.05578414659190781,0.008413992428317875,-0.11253721069307113,0.0067451687082026885,0.12449107487547631,0.04722132497016748,0.037717946488282236,0.011715492648974389,0.2880749198717949,0.006361195176457818,57.61498397435897,1.2722390352915636,57.61498397435897,1.2722390352915636,data/T_2.50_N_020_data.npz
2.4999999999999996,0,50,2500,5000,0.4000000000000001,1,1.6877421689239465,27,0.02256161546906118,0.003268500805954795,-0.10865434229919783,0.0026304440940326562,0.12634511434986218,0.04784862713005259,0.038934844724312016,0.011838996782391949,0.2869826626626627,0.0021151795378243567,358.72832832832825,2.6439744222804427,358.72832832832825,2.6439744222804427,data/T_2.50_N_050_data.npz
