file,temp,n_particles_1d,external_field,tau,suggested_block_size,n_samples,problematic
data_with_field/T_1.10_N_020_h_1.00_data.npz,1.0999999999999999,20,1.0,5.492216397765024,87,4879,False
data_with_field/T_1.10_N_020_h_2.00_data.npz,1.0999999999999999,20,2.0,5.525539911169091,88,4871,False
data_with_field/T_1.30_N_020_h_0.00_data.npz,1.2999999999999998,20,0.0,28.42838068394134,454,4877,False
data_with_field/T_1.30_N_020_h_0.25_data.npz,1.2999999999999998,20,0.25,12.044458232789413,192,4843,False
data_with_field/T_1.30_N_020_h_0.50_data.npz,1.2999999999999998,20,0.5,7.463249161920694,119,4865,False
data_with_field/T_1.30_N_020_h_1.00_data.npz,1.2999999999999998,20,1.0,5.51589954574497,88,4860,False
data_with_field/T_1.30_N_020_h_2.00_data.npz,1.2999999999999998,20,2.0,5.509215792400204,88,4885,False
data_with_field/T_1.50_N_020_h_0.00_data.npz,1.4999999999999998,20,0.0,12.62120047222721,201,4888,False
data_with_field/T_1.50_N_020_h_0.25_data.npz,1.4999999999999998,20,0.25,12.71066345523109,203,4854,False
data_with_field/T_1.50_N_020_h_0.50_data.npz,1.4999999999999998,20,0.5,9.24277182673297,147,4864,False
data_with_field/T_1.50_N_020_h_1.00_data.npz,1.4999999999999998,20,1.0,6.158974336866278,98,4876,False
data_with_field/T_1.50_N_020_h_2.00_data.npz,1.4999999999999998,20,2.0,6.527460485993923,104,4777,False
data_with_field/T_1.70_N_020_h_0.00_data.npz,1.6999999999999997,20,0.0,11.451687209802992,183,4836,False
data_with_field/T_1.70_N_020_h_0.25_data.npz,1.6999999999999997,20,0.25,8.629739297453526,138,4855,False
data_with_field/T_1.70_N_020_h_0.50_data.npz,1.6999999999999997,20,0.5,7.343725641746233,117,4774,False
data_with_field/T_1.70_N_020_h_1.00_data.npz,1.6999999999999997,20,1.0,5.240650453593051,83,4862,False
data_with_field/T_1.70_N_020_h_2.00_data.npz,1.6999999999999997,20,2.0,4.711374656797411,75,4866,False
data_with_field/T_1.90_N_020_h_0.00_data.npz,1.8999999999999997,20,0.0,4.508134769609253,72,4889,False
data_with_field/T_1.90_N_020_h_0.25_data.npz,1.8999999999999997,20,0.25,8.688062473084637,139,4862,False
data_with_field/T_1.90_N_020_h_0.50_data.npz,1.8999999999999997,20,0.5,8.86005247853715,141,4862,False
data_with_field/T_1.90_N_020_h_1.00_data.npz,1.8999999999999997,20,1.0,5.388968325146568,86,4842,False
data_with_field/T_1.90_N_020_h_2.00_data.npz,1.8999999999999997,20,2.0,4.273433680622559,68,4848,False
data_with_field/T_2.10_N_020_h_0.00_data.npz,2.0999999999999996,20,0.0,3.373227637969202,53,4896,False
data_with_field/T_2.10_N_020_h_0.25_data.npz,2.0999999999999996,20,0.25,6.870955559837387,109,4882,False
data_with_field/T_2.10_N_020_h_0.50_data.npz,2.0999999999999996,20,0.5,6.60179325062255,105,4884,False
data_with_field/T_2.10_N_020_h_1.00_data.npz,2.0999999999999996,20,1.0,5.761821040527773,92,4882,False
data_with_field/T_2.10_N_020_h_2.00_data.npz,2.0999999999999996,20,2.0,4.720477095729052,75,4882,False
data_with_field/T_2.30_N_020_h_0.00_data.npz,2.3,20,0.0,3.4216707730280596,54,4883,False
data_with_field/T_2.30_N_020_h_0.25_data.npz,2.3,20,0.25,5.442351299662262,87,4882,False
data_with_field/T_2.30_N_020_h_0.50_data.npz,2.3,20,0.5,5.531021489613535,88,4882,False
data_with_field/T_2.30_N_020_h_1.00_data.npz,2.3,20,1.0,4.567316720917499,73,4882,False
data_with_field/T_2.30_N_020_h_2.00_data.npz,2.3,20,2.0,4.1889751684381284,67,4882,False
data_with_field/T_2.50_N_020_h_0.00_data.npz,2.4999999999999996,20,0.0,2.663979555266566,42,4857,False
data_with_field/T_2.50_N_020_h_0.25_data.npz,2.4999999999999996,20,0.25,4.405770738256629,70,4890,False
data_with_field/T_2.50_N_020_h_0.50_data.npz,2.4999999999999996,20,0.5,5.092883580829974,81,4890,False
data_with_field/T_2.50_N_020_h_1.00_data.npz,2.4999999999999996,20,1.0,4.492149911986854,71,4888,False
data_with_field/T_2.50_N_020_h_2.00_data.npz,2.4999999999999996,20,2.0,4.026004179048368,64,4875,False
